label,authors_1,authors_2,title_1,title_2,venue_1,venue_2,year_1,year_2
0,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","qiong luo , jeffrey f. naughton",web caching for database applications with oracle web cache,form-based proxy caching for database-backed web sites,sigmod conference,very large data bases,2002,2001
0,amy pogue,objectivity,oracle industrial exhibit,objectivity industrial exhibit,vldb,very large data bases,1998,1998
0,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",v. s. subrahmanian,extracting large-scale knowledge bases from the web,amalgamating knowledge bases,vldb,acm transactions on database systems ( tods ),1999,1994
1,"barbara liskov , atul adya , robert gruber , umesh maheshwari","atul adya , robert gruber , barbara liskov , umesh maheshwari",efficient optimistic concurrency control using loosely synchronized clocks,efficient optimistic concurrency control using loosely synchronized clocks,sigmod conference,international conference on management of data,1995,1995
0,"narain h. gehani , william d. roome , h. v. jagadish",won kim,odefs : a file system interface to an object-oriented database,unisql/x unified relational and object-oriented database system,vldb,international conference on management of data,1994,1994
1,"william i. grosky , farshad fotouhi , d. v. sreenath","w. i. grosky , d. v. sreenath , f. fotouhi",emergent semantics and the multimedia semantic web,emergent semantics and the multimedia semantic web,sigmod record,acm sigmod record,2002,2002
0,narendra mohan,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",dwms : data warehouse management system,strudel : a web site management system,vldb,international conference on management of data,1996,1997
0,jiawei han,"fernando berzal , nicolf &#225; s mat &#237; n",data mining techniques,data mining : concepts and techniques by jiawei han and micheline kamber,sigmod conference,acm sigmod record,1996,2002
0,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos","svetlozar nestorov , serge abiteboul , rajeev motwani",qursed : querying and reporting semistructured data,extracting schema from semistructured data,sigmod conference,international conference on management of data,2002,1998
0,"albertas caplinskas , johann eder , olegas vasilecas","amit sheth , robert meersman",advances in databases and information systems ( adbis ),amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,sigmod record,acm sigmod record,2002,2002
0,leonidas fegaras,"georges gardarin , fei sha , zhao-hui tang",query unnesting in object-oriented databases,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",sigmod conference,very large data bases,1998,1996
1,"mitch cherniack , stanley b. zdonik , michael j. franklin","mitch cherniack , michael j. franklin , stanley b. zdonik",data management for pervasive computing,data management for pervasive computing,vldb,very large data bases,2001,2001
0,"binto george , jayant r. haritsa","philip m. lewis , arthur bernstein , michael kifer",secure transaction processing in firm real-time database systems,databases and transaction processing : an application-oriented approach,sigmod conference,acm sigmod record,1997,2002
0,weidong chen,praveen seshadri,declarative updates of relational databases,enhanced abstract data types in object-relational databases,acm trans . database syst .,the vldb journal -- the international journal on very large data bases,1995,1998
1,"sebastiaan h. von solms , martin s. olivier","martin s. olivier , sebastiaan h. von solms",a taxonomy for secure object-oriented databases,a taxonomy for secure object-oriented databases,acm trans . database syst .,acm transactions on database systems ( tods ),1994,1994
0,"inderpal singh mumick , ashish gupta","jian yang , kamalakar karlapalem , qing li",what is the data warehousing problem ? ( are materialized views the answer ? ),algorithms for materialized view design in data warehousing environment,vldb,very large data bases,1996,1997
